KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-33.969
Lateral Mean Cop Position (mm),-4.404
Longitudinal Standard Deviation (mm),10.232
Lateral Standard Deviation (mm),4.956
Ellipse Surface (mm²),800.532
Total Displacement (mm),1795.871
Total Displacement AP (mm),1488.478
Total Displacement ML (mm),730.195
Mean Velocity (mm/s),59.553
Mean Velocity AP (mm/s),49.359
Mean Velocity ML (mm/s),24.214
Longitudinal Amplitude (mm/s),45.723
Lateral Amplitude (mm/s),26.596
Amplitude Ratio,0.582
Phase Plane AP (mm),55.020
Phase Plane ML (mm),25.698
Max Distance AP (mm),57.130
Max Distance ML (mm),21.252
,Heel,Tip
Weight Distribution (%),61.6,38.4

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0,16.286449432373047,12.311900138854980,5.345749855041504,7.205599784851074,,0.6651,0.4488,
0.004,16.303150177001953,12.310899734497070,5.372449874877930,7.222700119018555,,0.6646,0.4488,
0.008,16.312724162023642,12.310935051355536,5.387077833920134,7.231802349663273,,0.6643,0.4488,
0.012,16.317943142326719,12.313359686593236,5.393333702011192,7.234871957918179,,0.6642,0.4488,
0.016,16.320968812611646,12.319082305796648,5.394538711272146,7.233733508429011,,0.6643,0.4489,
0.02,16.324111201180362,12.327345142677139,5.394889329920543,7.229831432773099,,0.6644,0.4490,
0.024,16.328231214298018,12.336161905614496,5.397892766471108,7.225292178921766,,0.6645,0.4491,
0.028,16.332817635608198,12.344411560156193,5.404244411832190,7.222883186115129,,0.6645,0.4492,
0.032,16.337735367813536,12.353430580262582,5.412249057144093,7.223257276164825,,0.6645,0.4493,
0.036,16.342218971885792,12.364015162651405,5.420002455329881,7.226184502827956,,0.6644,0.4495,
0.04,16.344657289708060,12.373685572479118,5.426958088473457,7.231595101565072,,0.6643,0.4496,
0.044,16.345303114248306,12.379559973385632,5.431965494468233,7.237768529062780,,0.6642,0.4496,
0.048,16.346302292492332,12.381283094258183,5.433309361356851,7.241700360480220,,0.6642,0.4496,
0.052,16.348621431950470,12.380748058979250,5.431860114513064,7.241446439320733,,0.6642,0.4496,
0.056,16.351883910441163,12.379637841519774,5.429813791423672,7.238069524785053,,0.6643,0.4496,
0.06,16.355243914177692,12.376929656092422,5.426658623471614,7.234996677755516,,0.6644,0.4495,
0.064,16.356918446741126,12.371316321849843,5.421197052269341,7.234218764899691,,0.6644,0.4494,
0.068,16.355712505102453,12.363591331489985,5.416400564379380,7.235247106253422,,0.6644,0.4493,
0.072,16.351786744187315,12.354305963011592,5.415253475872469,7.237030928534901,,0.6644,0.4492,
0.076,16.345342550217879,12.343557702164940,5.416789710256174,7.237962779055212,,0.6642,0.4491,
0.07989999997615814,16.336833540247461,12.332164862990673,5.418813001965237,7.237250030381407,,0.6641,0.4491,
0.08389999997615814,16.327769564953222,12.321720584882687,5.419480642786837,7.236425643119270,,0.6639,0.4491,
0.08789999997615815,16.319651491871966,12.313452434560663,5.417572902132360,7.237921145200676,,0.6638,0.4490,
0.09189999997615814,16.313699640233843,12.307227658717068,5.413758148767032,7.242531094026672,,0.6638,0.4489,
0.09589999997615814,16.310518263938121,12.302754166533290,5.411628348883882,7.249101212132433,,0.6636,0.4488,
0.09989999997615814,16.309894228033230,12.300811840632916,5.414668727601712,7.257327381774632,,0.6635,0.4488,
0.10389999997615815,16.311813972114088,12.303312301737929,5.422428876085378,7.267073803625316,,0.6633,0.4488,
0.10789999997615814,16.316495783886211,12.309789249983016,5.432266577198733,7.276953964494642,,0.6630,0.4489,
