KINVENT Physio 2.19.1,Devices: ,P126695 (FW 3.016) (250 Hz),S120647 (FW 3.012) (125 Hz),P126936 (FW 3.016) (250 Hz)
Repetition:,1
Number of Reps,Duration (sec),Pace (reps/min)
10,14.916,40.225
Body Weight (kg),51.40
Number of Reps,Duration (sec),Pace (reps/min)
10,14.916,40.225
,Left,Right
Average Distribution,48.288,51.712
Distribution/Phase,Avg Left,Avg Right
Concentric,48.144,51.856
Eccentric,46.314,53.686
Max Force Per rep (kg),1,2,3,4,5,6,7,8,9,10,Average
,74.529,85.146,85.046,83.835,87.413,82.748,88.771,85.030,91.189,82.328,84.604
Max Amplitude Per rep (°),1,2,3,4,5,6,7,8,9,10,Average
,74.494,78.020,74.186,77.142,77.997,76.438,78.955,78.636,78.276,75.743,76.989
Avg Power/Phase (W),Concentric,Eccentric
,281.507,-265.164

Baseline Quaternion
x,-0.8226612272515942
y,0.20724200384385827
z,-0.15399010754085576
w,0.5065237445562041

,K-Plate Left,,,,,K-Plate Right,,,,,K-Move,,,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0,6.235350131988525,7.712200164794922,6.415750026702881,5.145699977874756,,8.961700439453125,6.010200023651123,4.194049835205078,6.739999771118164,,-0.748168945312500,0.272583007812500,-0.245605468750000,0.552795410156250,
0.004,6.223649978637695,7.696100234985352,6.380149841308594,5.157700061798096,,8.997599601745605,5.973499774932861,4.221149921417236,6.729100227355957,,-0.748182075208563,0.272526755246062,-0.245609778972039,0.552805111369225,
0.008,6.231949806213379,7.675600051879883,6.382949829101563,5.162799835205078,,8.985699653625488,5.975699901580811,4.196750164031982,6.785099983215332,,-0.748182075208563,0.272526755246062,-0.245609778972039,0.552805111369225,
0.012,6.229149818420410,7.705800056457520,6.420050144195557,5.168600082397461,,8.955200195312500,6.001200199127197,4.181449890136719,6.768599987030029,,-0.748194211378674,0.272439620043132,-0.245583244369562,0.552814078353455,
0.016,6.204949855804443,7.694499969482422,6.414850234985352,5.175099849700928,,8.966400146484375,6.000299930572510,4.196549892425537,6.740799903869629,,-0.748194211378674,0.272439620043132,-0.245583244369562,0.552814078353455,
0.02,6.184649944305420,7.696400165557861,6.408750057220459,5.184199810028076,,8.968999862670898,5.984399795532227,4.206649780273438,6.721399784088135,,-0.748221703431389,0.272377481059067,-0.245521214019069,0.552842360715406,
0.024,6.185949802398682,7.712399959564209,6.407549858093262,5.173699855804443,,8.965900421142578,5.999700069427490,4.202849864959717,6.718599796295166,,-0.748221703431389,0.272377481059067,-0.245521214019069,0.552842360715406,
0.028,6.276350021362305,7.649099826812744,6.425250053405762,5.201399803161621,,8.959199905395508,5.964499950408936,4.197350025177002,6.756000041961670,,-0.748246081556868,0.272344727621074,-0.245458162736026,0.552868342176532,
0.032,6.206649780273438,7.653999805450439,6.425749778747559,5.177999973297119,,8.941599845886230,5.967599868774414,4.182050228118896,6.763500213623047,,-0.748246081556868,0.272344727621074,-0.245458162736026,0.552868342176532,
0.036,6.173550128936768,7.671700000762939,6.433249950408936,5.171500205993652,,8.959199905395508,6.010600090026855,4.196750164031982,6.766900062561035,,-0.748220596095990,0.272346559512200,-0.245429295338090,0.552902579413103,
0.04,6.222549915313721,7.696400165557861,6.430850028991699,5.206600189208984,,8.962900161743164,5.977200031280518,4.200049877166748,6.758900165557861,,-0.748220596095990,0.272346559512200,-0.245429295338090,0.552902579413103,
0.044,6.217750072479248,7.689700126647949,6.440350055694580,5.181799888610840,,8.971899986267090,5.977099895477295,4.191150188446045,6.742700099945068,,-0.748220596095990,0.272346559512200,-0.245429295338090,0.552902579413103,
0.048,6.236549854278564,7.663700103759766,6.455249786376953,5.158400058746338,,8.960100173950195,5.976900100708008,4.198850154876709,6.741600036621094,,-0.748192400950179,0.272408442277749,-0.245430057449883,0.552904296296884,
0.052,6.218349933624268,7.698999881744385,6.450950145721436,5.190100193023682,,8.917300224304199,6.004600048065186,4.226250171661377,6.745999813079834,,-0.748192400950179,0.272408442277749,-0.245430057449883,0.552904296296884,
0.056,6.230050086975098,7.685500144958496,6.456649780273438,5.195099830627441,,8.927499771118164,5.976799964904785,4.227250099182129,6.730999946594238,,-0.748161491497494,0.272530374018871,-0.245460447730546,0.552873488883076,
0.06,6.238450050354004,7.683499813079834,6.477049827575684,5.221700191497803,,8.939200401306152,5.943699836730957,4.213349819183350,6.736199855804443,,-0.748161491497494,0.272530374018871,-0.245460447730546,0.552873488883076,
0.064,6.224349975585938,7.695199966430664,6.433750152587891,5.202899932861328,,8.934200286865234,5.975200176239014,4.228350162506104,6.760099887847900,,-0.748124660799581,0.272680665915161,-0.245519413238665,0.552838305881717,
0.068,6.253950119018555,7.710299968719482,6.451749801635742,5.183100223541260,,8.907600402832031,5.985599994659424,4.206250190734863,6.782800197601318,,-0.748124660799581,0.272680665915161,-0.245519413238665,0.552838305881717,
0.072,6.246049880981445,7.721199989318848,6.432350158691406,5.177899837493896,,8.913299560546875,5.984300136566162,4.204050064086914,6.778299808502197,,-0.748088211888307,0.272861612307484,-0.245609020898180,0.552772887118383,
0.076,6.265550136566162,7.744200229644775,6.453249931335449,5.212200164794922,,8.895500183105469,5.954100131988525,4.196149826049805,6.751599788665771,,-0.748088211888307,0.272861612307484,-0.245609020898180,0.552772887118383,
0.07989999997615814,6.248549938201904,7.715899944305420,6.469550132751465,5.226399898529053,,8.896200180053711,5.969500064849854,4.244450092315674,6.784200191497803,,-0.747998672539129,0.273045455863223,-0.245731754846392,0.552743857895908,
0.08389999997615814,6.245550155639648,7.732299804687500,6.483049869537354,5.200399875640869,,8.935199737548828,5.952400207519531,4.237349987030029,6.771699905395508,,-0.747998672539129,0.273045455863223,-0.245731754846392,0.552743857895908,
0.08789999997615815,6.238850116729736,7.757800102233887,6.472849845886230,5.164500236511230,,8.923299789428711,5.967299938201904,4.213749885559082,6.767499923706055,,-0.747912613509174,0.273230572030344,-0.245886151999160,0.552686882549931,
0.09189999997615814,6.290349960327148,7.757299900054932,6.455949783325195,5.186100006103516,,8.882900238037109,5.980700016021729,4.218750000000000,6.778999805450439,,-0.747912613509174,0.273230572030344,-0.245886151999160,0.552686882549931,
0.09589999997615814,6.266349792480469,7.781099796295166,6.453450202941895,5.189700126647949,,8.905900001525879,5.977099895477295,4.232349872589111,6.745100021362305,,-0.747851316357034,0.273413586747303,-0.246008139610449,0.552625653401068,
0.09989999997615814,6.260550022125244,7.756199836730957,6.460149765014648,5.204400062561035,,8.906299591064453,5.983300209045410,4.221950054168701,6.756800174713135,,-0.747851316357034,0.273413586747303,-0.246008139610449,0.552625653401068,
0.10389999997615815,6.295549869537354,7.737599849700928,6.440649986267090,5.189199924468994,,8.921899795532227,5.975800037384033,4.214950084686279,6.751399993896484,,-0.747786126724651,0.273564659019703,-0.246067809647017,0.552622584284781,
0.10789999997615814,6.285550117492676,7.799099922180176,6.440549850463867,5.192900180816650,,8.911199569702148,5.992000102996826,4.214250087738037,6.772200107574463,,-0.747786126724651,0.273564659019703,-0.246067809647017,0.552622584284781,
0.11189999997615814,6.290850162506104,7.769100189208984,6.450049877166748,5.201700210571289,,8.917499542236328,5.956699848175049,4.195449829101563,6.759200096130371,,-0.747729979899526,0.273658002928821,-0.246099937060111,0.552626197951946,
0.11589999997615814,6.290150165557861,7.731100082397461,6.438650131225586,5.205800056457520,,8.916099548339844,5.947500228881836,4.178050041198730,6.736299991607666,,-0.747729979899526,0.273658002928821,-0.246099937060111,0.552626197951946,
0.11989999997615815,6.269450187683105,7.762700080871582,6.468550205230713,5.203899860382080,,8.902400016784668,5.963200092315674,4.173749923706055,6.754399776458740,,-0.747710800342911,0.273662152925506,-0.246073150333261,0.552634578473855,
0.12389999997615814,6.239349842071533,7.770100116729736,6.457449913024902,5.191800117492676,,8.917200088500977,5.956299781799316,4.197050094604492,6.723499774932861,,-0.747710800342911,0.273662152925506,-0.246073150333261,0.552634578473855,
0.12789999997615814,6.261750221252441,7.772099971771240,6.444550037384033,5.166800022125244,,8.936100006103516,5.939599990844727,4.195149898529053,6.735000133514404,,-0.747738341172157,0.273600025656438,-0.246011132941054,0.552662896220015,
0.13189999997615814,6.281949996948242,7.748899936676025,6.459149837493896,5.177999973297119,,8.908499717712402,5.971000194549561,4.153150081634521,6.719099998474121,,-0.747738341172157,0.273600025656438,-0.246011132941054,0.552662896220015,
0.13589999997615815,6.289750099182129,7.774700164794922,6.435349941253662,5.191800117492676,,8.929499626159668,5.964499950408936,4.144949913024902,6.728799819946289,,-0.747787485514032,0.273504119706842,-0.245915665766317,0.552715143049611,
0.13989999997615815,6.275450229644775,7.771800041198730,6.455249786376953,5.190499782562256,,8.923700332641602,5.954999923706055,4.152550220489502,6.722899913787842,,-0.747787485514032,0.273504119706842,-0.245915665766317,0.552715143049611,
0.14389999997615815,6.286550045013428,7.740099906921387,6.455349922180176,5.190100193023682,,8.904999732971191,5.955900192260742,4.160049915313721,6.710499763488770,,-0.747851589394773,0.273322131590271,-0.245764082815593,0.552778446794839,
0.14789999997615813,6.299349784851074,7.787000179290771,6.478549957275391,5.234099864959717,,8.926699638366699,5.946400165557861,4.162049770355225,6.717000007629395,,-0.747851589394773,0.273322131590271,-0.245764082815593,0.552778446794839,
0.15189999997615813,6.301650047302246,7.800899982452393,6.447649955749512,5.210800170898438,,8.940899848937988,5.927800178527832,4.156350135803223,6.712900161743164,,-0.747915663860579,0.273140131046321,-0.245612488788915,0.552841728927832,
0.15589999997615814,6.313749790191650,7.819499969482422,6.443150043487549,5.202899932861328,,8.938099861145020,5.922100067138672,4.144249916076660,6.721300125122070,,-0.747915663860579,0.273140131046321,-0.245612488788915,0.552841728927832,
0.16,6.253550052642822,7.781400203704834,6.464049816131592,5.204400062561035,,8.929800033569336,5.953100204467773,4.137949943542480,6.714900016784668,,-0.747967882057783,0.273014838340566,-0.245518038726789,0.552896247061931,
0.164,6.288350105285645,7.770299911499023,6.474750041961670,5.201300144195557,,8.935000419616699,5.960499763488770,4.102350234985352,6.716899871826172,,-0.747967882057783,0.273014838340566,-0.245518038726789,0.552896247061931,
0.168,6.323150157928467,7.801899909973145,6.451749801635742,5.207200050354004,,8.935199737548828,5.912600040435791,4.126550197601318,6.692900180816650,,-0.748004812905051,0.272925623900852,-0.245459106903114,0.552900987164456,
0.172,6.314050197601318,7.794199943542480,6.454150199890137,5.203199863433838,,8.951499938964844,5.948900222778320,4.127649784088135,6.663300037384033,,-0.748004812905051,0.272925623900852,-0.245459106903114,0.552900987164456,
0.176,6.319250106811523,7.781799793243408,6.448750019073486,5.200699806213379,,8.927399635314941,5.941299915313721,4.116650104522705,6.678800106048584,,-0.748039020298000,0.272896451368966,-0.245429798916263,0.552873195370184,
0.18,6.341249942779541,7.801300048828125,6.429450035095215,5.182700157165527,,8.908900260925293,5.947400093078613,4.125949859619141,6.693699836730957,,-0.748039020298000,0.272896451368966,-0.245429798916263,0.552873195370184,
0.184,6.305250167846680,7.822800159454346,6.468750000000000,5.208000183105469,,8.932399749755859,5.949399948120117,4.094150066375732,6.657000064849854,,-0.748039414634950,0.272927113748128,-0.245460446816079,0.552842968304521,
0.188,6.325150012969971,7.835899829864502,6.454649925231934,5.182400226593018,,8.963000297546387,5.955100059509277,4.057750225067139,6.679200172424316,,-0.748039414634950,0.272927113748128,-0.245460446816079,0.552842968304521,
0.192,6.340950012207031,7.815400123596191,6.416749954223633,5.194200038909912,,8.962599754333496,5.947000026702881,4.055749893188477,6.692399978637695,,-0.748008793007441,0.273018631670525,-0.245521450009990,0.552812373583712,
0.196,6.363949775695801,7.797299861907959,6.432950019836426,5.215300083160400,,8.964500427246094,5.975299835205078,4.090650081634521,6.673699855804443,,-0.748008793007441,0.273018631670525,-0.245521450009990,0.552812373583712,
0.2,6.342949867248535,7.780900001525879,6.432050228118896,5.177999973297119,,8.968500137329102,5.972700119018555,4.080749988555908,6.650899887084961,,-0.747971932255457,0.273168907977420,-0.245580404702749,0.552777167935987,
0.204,6.343550205230713,7.765399932861328,6.411749839782715,5.215600013732910,,8.989399909973145,5.973100185394287,4.063250064849854,6.650499820709229,,-0.747971932255457,0.273168907977420,-0.245580404702749,0.552777167935987,
0.208,6.328549861907959,7.793399810791016,6.429450035095215,5.211500167846680,,8.961400032043457,5.913400173187256,4.039850234985352,6.634300231933594,,-0.747919385075125,0.273324601653928,-0.245644229423009,0.552722405153450,
0.212,6.345049858093262,7.852900028228760,6.426149845123291,5.176499843597412,,8.967399597167969,5.939000129699707,4.058149814605713,6.614799976348877,,-0.747919385075125,0.273324601653928,-0.245644229423009,0.552722405153450,
0.216,6.358850002288818,7.822800159454346,6.432050228118896,5.193699836730957,,8.959500312805176,5.975299835205078,4.039050102233887,6.627399921417236,,-0.747860518311540,0.273477988352977,-0.245705979715413,0.552693490578330,
0.22,6.356949806213379,7.824800014495850,6.425749778747559,5.212299823760986,,8.989999771118164,5.921199798583984,4.027550220489502,6.640399932861328,,-0.747860518311540,0.273477988352977,-0.245705979715413,0.552693490578330,
0.224,6.364049911499023,7.804399967193604,6.436250209808350,5.188700199127197,,8.978199958801270,5.931799888610840,4.063650131225586,6.634699821472168,,-0.747789024694958,0.273626755720320,-0.245763580617414,0.552716280710541,
0.228,6.360549926757813,7.810699939727783,6.447949886322021,5.207799911499023,,8.986200332641602,5.972199916839600,4.056650161743164,6.614900112152100,,-0.747789024694958,0.273626755720320,-0.245763580617414,0.552716280710541,
0.232,6.363949775695801,7.838900089263916,6.462850093841553,5.192200183868408,,9.006600379943848,5.957300186157227,4.013949871063232,6.583499908447266,,-0.747723070187248,0.273716510204050,-0.245761964173622,0.552773681494699,
0.236,6.386849880218506,7.850999832153320,6.442049980163574,5.195400238037109,,9.000499725341797,5.917699813842773,4.018050193786621,6.595200061798096,,-0.747723070187248,0.273716510204050,-0.245761964173622,0.552773681494699,
0.23989999997615813,6.370850086212158,7.902999877929688,6.445149898529053,5.211599826812744,,9.004699707031250,5.936100006103516,4.008850097656250,6.585199832916260,,-0.747696879374171,0.273718094330895,-0.245671831794370,0.552837917137269,
0.24389999997615813,6.372749805450439,7.890999794006348,6.444149971008301,5.213300228118896,,9.038200378417969,5.955599784851074,4.002250194549561,6.623799800872803,,-0.747696879374171,0.273718094330895,-0.245671831794370,0.552837917137269,
0.24789999997615814,6.430850028991699,7.895199775695801,6.450150012969971,5.192200183868408,,9.048199653625488,5.936800003051758,3.967649936676025,6.609300136566162,,-0.747695410022637,0.273656520068285,-0.245549276287434,0.552928385256740,
0.25189999997615814,6.404250144958496,7.904399871826172,6.443150043487549,5.188600063323975,,9.056500434875488,5.942299842834473,3.981549978256226,6.571800231933594,,-0.747695410022637,0.273656520068285,-0.245549276287434,0.552928385256740,
0.25589999997615814,6.400949954986572,7.923799991607666,6.475150108337402,5.190400123596191,,9.079899787902832,5.974899768829346,3.987449884414673,6.566500186920166,,-0.747697116838905,0.273626626513372,-0.245427763821162,0.552990683964121,
0.25989999997615815,6.391250133514404,7.916699886322021,6.468450069427490,5.201600074768066,,9.021800041198730,5.953899860382080,3.971549987792969,6.568200111389160,,-0.747697116838905,0.273626626513372,-0.245427763821162,0.552990683964121,
0.26389999997615815,6.391049861907959,7.830399990081787,6.461750030517578,5.182400226593018,,9.041299819946289,5.929599761962891,3.948349952697754,6.591000080108643,,-0.747727114873628,0.273595917915272,-0.245305520156492,0.553020817461532,
0.26789999997615815,6.375750064849854,7.839700222015381,6.479549884796143,5.182000160217285,,9.084300041198730,5.933100223541260,3.934750080108643,6.556600093841553,,-0.747727114873628,0.273595917915272,-0.245305520156492,0.553020817461532,
0.27189999997615816,6.387450218200684,7.915500164031982,6.481949806213379,5.205299854278564,,9.090700149536133,5.904799938201904,3.921149969100952,6.566800117492676,,-0.747788523241305,0.273535017500380,-0.245183569184208,0.553021092505231,
0.27589999997615816,6.391049861907959,7.908199787139893,6.454850196838379,5.177400112152100,,9.079400062561035,5.907999992370605,3.940249919891357,6.574999809265137,,-0.747788523241305,0.273535017500380,-0.245183569184208,0.553021092505231,
0.28,6.369750022888184,7.846799850463867,6.446949958801270,5.182400226593018,,9.089699745178223,5.942699909210205,3.958650112152100,6.556099891662598,,-0.747825533563283,0.273506873644880,-0.245124660691327,0.552995374965993,
0.284,6.371650218963623,7.816999912261963,6.451149940490723,5.200200080871582,,9.087800025939941,5.984499931335449,3.964649915695190,6.567399978637695,,-0.747825533563283,0.273506873644880,-0.245124660691327,0.552995374965993,
0.288,6.377749919891357,7.834799766540527,6.428850173950195,5.192299842834473,,9.116299629211426,5.958199977874756,3.958349943161011,6.566500186920166,,-0.747825533563283,0.273506873644880,-0.245124660691327,0.552995374965993,
0.292,6.349349975585938,7.832399845123291,6.466750144958496,5.214499950408936,,9.100700378417969,5.959799766540527,3.936549901962280,6.580999851226807,,-0.747851031478692,0.273505037507123,-0.245153533395974,0.552961144230256,
0.296,6.336150169372559,7.833600044250488,6.480649948120117,5.193699836730957,,9.074500083923340,5.934199810028076,3.915849924087524,6.583099842071533,,-0.747851031478692,0.273505037507123,-0.245153533395974,0.552961144230256,
0.3,6.342850208282471,7.806499958038330,6.450049877166748,5.182400226593018,,9.044300079345703,5.978400230407715,3.986649990081787,6.563799858093262,,-0.747848624304524,0.273534675357741,-0.245213780709523,0.552928846159942,
0.304,6.313449859619141,7.832699775695801,6.479849815368652,5.173900127410889,,9.083299636840820,5.966199874877930,3.988250017166138,6.592500209808350,,-0.747848624304524,0.273534675357741,-0.245213780709523,0.552928846159942,
0.308,6.331550121307373,7.826700210571289,6.477550029754639,5.204400062561035,,9.087800025939941,5.941500186920166,3.985249996185303,6.607699871063232,,-0.747793203514634,0.273628284810521,-0.245307177482375,0.552902480025900,
0.312,6.348249912261963,7.778800010681152,6.439849853515625,5.233399868011475,,9.057600021362305,5.943600177764893,3.996850013732910,6.575799942016602,,-0.747793203514634,0.273628284810521,-0.245307177482375,0.552902480025900,
0.316,6.344349861145020,7.764500141143799,6.454549789428711,5.230599880218506,,9.068099975585938,5.932400226593018,3.968750000000000,6.562500000000000,,-0.747731849078560,0.273750242285404,-0.245429146985420,0.552871726782874,
